Order,Lock,Vuser,DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
1,Pessimistic Lock,500,2026-04-12 17:21:15,425,75,0,8.44,3.099,37.5,81.0,3037.5,0,0,1.4,2.813
1,Pessimistic Lock,500,2026-04-12 17:21:17,398,56,0,545.107,460.869,28.0,93.0,2604.0,8,0,142.893,265.964
1,Pessimistic Lock,500,2026-04-12 17:21:19,15,354,0,611.37,495.853,177.0,146.729,25971.0,277,0,213.285,270.91
1,Pessimistic Lock,500,2026-04-12 17:21:21,2,13,0,8.615,1.862,6.5,165.0,1072.5,13,0,2.385,3.846
1,Pessimistic Lock,500,2026-04-12 17:21:23,0,2,0,9.5,0.5,1.0,165.0,165.0,2,0,3.0,4.0
1,Pessimistic Lock,800,2026-04-12 17:32:25,722,78,0,11.692,6.43,39.0,81.0,3159.0,0,0,2.244,4.526
1,Pessimistic Lock,800,2026-04-12 17:32:27,705,18,0,9.167,2.062,9.0,81.0,729.0,0,0,1.889,2.833
1,Pessimistic Lock,800,2026-04-12 17:32:29,701,121,0,186.273,98.409,60.5,92.802,5614.5,17,0,80.124,113.331
1,Pessimistic Lock,800,2026-04-12 17:32:31,325,306,0,691.203,415.162,153.0,165.0,25245.0,306,0,187.042,251.359
1,Pessimistic Lock,800,2026-04-12 17:32:33,32,258,0,468.291,330.671,129.0,165.0,21285.0,258,0,119.574,151.039
1,Pessimistic Lock,800,2026-04-12 17:32:35,2,18,0,7.778,2.439,9.0,165.0,1485.0,18,0,2.167,3.278
1,Pessimistic Lock,800,2026-04-12 17:32:37,0,1,0,11.0,0.0,0.5,165.0,82.5,1,0,4.0,5.0
1,Pessimistic Lock,1000,2026-04-12 17:43:39,917,83,0,15.771,12.756,41.5,81.0,3361.5,0,0,3.386,5.988
1,Pessimistic Lock,1000,2026-04-12 17:43:41,906,11,0,9.636,2.057,5.5,81.0,445.5,0,0,1.818,3.364
1,Pessimistic Lock,1000,2026-04-12 17:43:43,538,368,0,667.943,506.889,184.0,140.804,25908.0,262,0,228.19,330.005
1,Pessimistic Lock,1000,2026-04-12 17:43:45,130,408,0,775.265,462.646,204.0,165.0,33660.0,408,0,200.346,256.282
1,Pessimistic Lock,1000,2026-04-12 17:43:47,15,115,0,167.687,185.956,57.5,165.0,9487.5,115,0,47.643,70.096
1,Pessimistic Lock,1000,2026-04-12 17:43:49,1,14,0,5.5,2.471,7.0,165.0,1155.0,14,0,1.857,2.571
1,Pessimistic Lock,1000,2026-04-12 17:43:51,0,1,0,9.0,0.0,0.5,165.0,82.5,1,0,3.0,5.0
1,Spin Lock,500,2026-04-12 17:54:46,408,170,0,443.865,499.168,85.0,74.0,6290.0,0,0,106.253,133.347
1,Spin Lock,500,2026-04-12 17:54:48,82,264,0,615.652,337.258,132.0,154.659,20415.0,234,0,200.428,247.527
1,Spin Lock,500,2026-04-12 17:54:50,2,64,0,449.641,521.795,32.0,165.0,5280.0,64,0,127.641,130.922
1,Spin Lock,500,2026-04-12 17:54:52,0,2,0,10.0,2.0,1.0,165.0,165.0,2,0,3.5,4.5
1,Spin Lock,800,2026-04-12 18:05:48,715,85,0,51.765,62.093,42.5,74.0,3145.0,0,0,9.612,19.494
1,Spin Lock,800,2026-04-12 18:05:50,548,174,0,861.81,421.869,87.0,104.856,9122.5,59,0,254.471,326.931
1,Spin Lock,800,2026-04-12 18:05:52,317,252,0,562.964,481.582,126.0,165.0,20790.0,252,0,178.29,224.956
1,Spin Lock,800,2026-04-12 18:05:54,30,259,0,296.425,356.587,129.5,165.0,21367.5,259,0,101.297,126.181
1,Spin Lock,800,2026-04-12 18:05:56,5,24,1,8.542,5.737,12.0,165.0,1980.0,24,0,2.125,3.25
1,Spin Lock,800,2026-04-12 18:05:58,1,4,0,12.25,1.639,2.0,165.0,330.0,4,0,3.5,5.5
1,Spin Lock,800,2026-04-12 18:06:00,0,1,0,11.0,0.0,0.5,165.0,82.5,1,0,3.0,5.0
1,Spin Lock,1000,2026-04-12 18:16:59,918,90,0,20.967,19.874,45.0,74.0,3330.0,0,0,4.111,8.222
1,Spin Lock,1000,2026-04-12 18:17:01,901,117,0,629.675,461.443,58.5,90.333,5284.5,21,0,260.077,300.368
1,Spin Lock,1000,2026-04-12 18:17:03,623,220,0,236.573,228.94,110.0,159.209,17513.0,206,0,76.714,124.255
1,Spin Lock,1000,2026-04-12 18:17:05,427,255,0,773.529,652.84,127.5,165.0,21037.5,255,0,233.192,304.863
1,Spin Lock,1000,2026-04-12 18:17:07,18,307,0,751.078,389.522,153.5,165.0,25327.5,307,0,204.397,258.56
1,Spin Lock,1000,2026-04-12 18:17:09,1,10,0,6.0,2.236,5.0,165.0,825.0,10,0,1.5,2.5
1,Spin Lock,1000,2026-04-12 18:17:11,0,1,0,10.0,0.0,0.5,165.0,82.5,1,0,3.0,4.0
1,Pub/Sub Lock,500,2026-04-12 18:28:08,420,87,1,14.437,17.741,43.5,77.0,3349.5,0,0,2.034,3.828
1,Pub/Sub Lock,500,2026-04-12 18:28:10,33,379,0,593.591,318.479,189.5,138.995,26339.5,267,0,245.937,313.427
1,Pub/Sub Lock,500,2026-04-12 18:28:12,4,29,0,6.966,2.697,14.5,165.0,2392.5,29,0,1.724,2.759
1,Pub/Sub Lock,500,2026-04-12 18:28:14,0,4,0,7.75,3.269,2.0,165.0,330.0,4,0,2.75,3.5
1,Pub/Sub Lock,800,2026-04-12 18:39:22,727,326,0,514.153,442.451,163.0,111.012,18095.0,126,0,155.11,224.347
1,Pub/Sub Lock,800,2026-04-12 18:39:24,48,444,0,572.196,402.27,222.0,165.0,36630.0,444,0,175.773,228.577
1,Pub/Sub Lock,800,2026-04-12 18:39:26,5,28,0,7.964,2.909,14.0,165.0,2310.0,28,0,1.964,2.857
1,Pub/Sub Lock,800,2026-04-12 18:39:28,1,1,0,5.0,0.0,0.5,165.0,82.5,1,0,1.0,2.0
1,Pub/Sub Lock,800,2026-04-12 18:39:30,0,1,0,9.0,0.0,0.5,165.0,82.5,1,0,3.0,4.0
1,Pub/Sub Lock,1000,2026-04-12 18:50:36,557,609,0,725.764,498.547,304.5,136.1,41442.5,409,0,276.202,338.448
1,Pub/Sub Lock,1000,2026-04-12 18:50:38,78,355,0,679.501,495.221,177.5,165.0,29287.5,355,0,182.946,227.899
1,Pub/Sub Lock,1000,2026-04-12 18:50:40,7,34,0,7.265,2.24,17.0,165.0,2805.0,34,0,1.735,2.765
1,Pub/Sub Lock,1000,2026-04-12 18:50:42,2,1,0,11.0,0.0,0.5,165.0,82.5,1,0,3.0,5.0
1,Pub/Sub Lock,1000,2026-04-12 18:50:44,0,1,0,9.0,0.0,0.5,165.0,82.5,1,0,3.0,4.0
1,ZooKeeper Lock,500,2026-04-12 19:01:38,414,100,0,35.13,44.42,50.0,79.0,3950.0,0,0,9.17,16.65
1,ZooKeeper Lock,500,2026-04-12 19:01:40,288,246,0,303.541,287.443,123.0,130.041,15995.0,146,0,80.394,99.118
1,ZooKeeper Lock,500,2026-04-12 19:01:42,21,142,0,338.07,296.359,71.0,165.0,11715.0,142,0,81.07,102.063
1,ZooKeeper Lock,500,2026-04-12 19:01:44,3,10,0,10.4,3.231,5.0,165.0,825.0,10,0,2.5,3.7
1,ZooKeeper Lock,500,2026-04-12 19:01:46,1,1,0,10.0,0.0,0.5,165.0,82.5,1,0,2.0,3.0
1,ZooKeeper Lock,500,2026-04-12 19:01:48,0,1,0,14.0,0.0,0.5,165.0,82.5,1,0,4.0,6.0
1,ZooKeeper Lock,800,2026-04-12 19:12:53,771,235,0,788.153,305.54,117.5,95.468,11217.5,45,0,231.417,281.911
1,ZooKeeper Lock,800,2026-04-12 19:12:55,124,506,0,522.984,511.61,253.0,163.3,41315.0,496,0,161.964,193.053
1,ZooKeeper Lock,800,2026-04-12 19:12:57,13,50,0,7.06,3.196,25.0,165.0,4125.0,50,0,1.88,2.68
1,ZooKeeper Lock,800,2026-04-12 19:12:59,1,8,0,8.625,3.314,4.0,165.0,660.0,8,0,2.125,3.0
1,ZooKeeper Lock,800,2026-04-12 19:13:01,0,1,0,11.0,0.0,0.5,165.0,82.5,1,0,3.0,4.0
1,ZooKeeper Lock,1000,2026-04-12 19:24:04,925,197,0,314.036,227.752,98.5,81.183,7996.5,5,0,96.36,123.629
1,ZooKeeper Lock,1000,2026-04-12 19:24:06,564,363,0,525.562,425.344,181.5,163.105,29603.5,355,0,155.774,237.361
1,ZooKeeper Lock,1000,2026-04-12 19:24:08,352,299,0,613.368,478.24,149.5,165.0,24667.5,299,0,161.96,191.231
1,ZooKeeper Lock,1000,2026-04-12 19:24:10,36,119,0,14.689,23.192,59.5,165.0,9817.5,119,0,5.622,7.319
1,ZooKeeper Lock,1000,2026-04-12 19:24:12,8,19,0,9.526,3.439,9.5,165.0,1567.5,19,0,2.263,3.316
