Lock,Vuser,Worst_Mean_Latency,Overall_Mean_Latency,Best_Mean_Latency,Average_p95_Latency
Pessimistic Lock,500,875.29,875.29,875.29,1675.68
Pessimistic Lock,800,1261.33,1261.33,1261.33,2112.03
Pessimistic Lock,1000,725.22,725.22,725.22,1680.6
Pub/Sub Lock,500,573.73,573.73,573.73,1398.33
Pub/Sub Lock,800,924.52,924.52,924.52,2028.97
Pub/Sub Lock,1000,1090.31,1090.31,1090.31,2185.56
Spin Lock,500,556.42,556.42,556.42,1296.91
Spin Lock,800,1064.38,1064.38,1064.38,1888.57
Spin Lock,1000,1013.73,1013.73,1013.73,2010.37
ZooKeeper Lock,500,395.66,395.66,395.66,1031.43
ZooKeeper Lock,800,1236.41,1236.41,1236.41,2073.49
ZooKeeper Lock,1000,1186.82,1186.82,1186.82,2563.87
