Lock,Vuser,Overall Mean Latency,Overall Std Dev,2-Sigma,2-Sigma Lower Bound,2-Sigma Upper Bound
Pessimistic Lock,500,310.65,348.07,696.15,0.00,1006.80
Pessimistic Lock,800,563.11,471.71,943.43,0.00,1506.54
Pessimistic Lock,1000,660.93,524.03,1048.07,0.00,1708.99
Spin Lock,500,326.49,358.53,717.05,0.00,1043.54
Spin Lock,800,506.27,477.80,955.60,0.00,1461.86
Spin Lock,1000,708.40,562.56,1125.12,0.00,1833.51
Pub/Sub Lock,500,281.46,329.93,659.86,0.00,941.32
Pub/Sub Lock,800,585.06,507.88,1015.75,0.00,1600.81
Pub/Sub Lock,1000,687.44,535.33,1070.65,0.00,1758.10
ZooKeeper Lock,500,304.00,348.35,696.70,0.00,1000.70
ZooKeeper Lock,800,529.63,485.64,971.28,0.00,1500.90
ZooKeeper Lock,1000,698.00,525.97,1051.93,0.00,1749.94
Adaptive Lock,500,261.53,315.40,630.80,0.00,892.33
Adaptive Lock,800,483.23,459.33,918.67,0.00,1401.90
Adaptive Lock,1000,597.68,497.91,995.82,0.00,1593.50
