Lock,Vuser,Overall_Mean_Latency,Avg_Total_Sigma,Avg_Lower_Bound,Avg_Upper_Bound
Pessimistic Lock,500,565.88,393.73,0.0,1353.33
Pessimistic Lock,800,1045.63,481.33,82.96,2008.29
Pessimistic Lock,1000,1103.02,796.08,0.0,2695.18
Pub/Sub Lock,500,772.45,430.58,0.0,1633.6
Pub/Sub Lock,800,1010.04,456.08,97.88,1922.19
Pub/Sub Lock,1000,751.69,723.94,0.0,2199.56
Spin Lock,500,432.49,396.06,0.0,1224.62
Spin Lock,800,905.15,527.92,0.0,1960.99
Spin Lock,1000,942.73,495.27,0.0,1933.27
ZooKeeper Lock,500,315.9,314.2,0.0,944.3
ZooKeeper Lock,800,612.78,423.8,0.0,1460.37
ZooKeeper Lock,1000,993.62,755.36,0.0,2504.35
