Lock,Vuser,Worst Mean TPS,Overall Mean TPS,Best Mean TPS,Average Peak TPS
Pessimistic Lock,500,41.67,53.46,62.50,138.40
Pessimistic Lock,800,57.07,74.21,100.00,187.14
Pessimistic Lock,1000,62.50,84.21,125.00,222.61
Spin Lock,500,41.58,51.50,83.33,141.21
Spin Lock,800,50.00,71.05,133.17,190.17
Spin Lock,1000,55.56,80.13,125.00,220.26
Pub/Sub Lock,500,41.67,52.19,83.33,150.11
Pub/Sub Lock,800,49.94,77.17,100.00,203.99
Pub/Sub Lock,1000,50.00,87.75,125.00,223.89
ZooKeeper Lock,500,41.58,51.14,83.33,133.82
ZooKeeper Lock,800,50.00,72.81,100.00,190.43
ZooKeeper Lock,1000,55.50,76.54,100.00,206.17
Adaptive Lock,500,35.71,51.17,83.33,140.94
Adaptive Lock,800,44.44,71.07,100.00,191.88
Adaptive Lock,1000,55.56,84.63,100.00,220.24
