Lock,Vuser,Worst_Mean_TPS,Overall_Mean_TPS,Best_Mean_TPS,Average_Peak_TPS,Test_Count
Pessimistic Lock,500,50.0,56.25,62.5,168.0,2
Pessimistic Lock,800,66.67,73.28,79.9,141.0,2
Pessimistic Lock,1000,62.5,72.92,83.33,167.5,2
Pub/Sub Lock,500,41.58,45.79,50.0,104.75,2
Pub/Sub Lock,800,66.67,73.33,80.0,204.5,2
Pub/Sub Lock,1000,83.33,91.67,100.0,274.0,2
Spin Lock,500,50.0,56.19,62.38,160.5,2
Spin Lock,800,66.67,73.33,80.0,169.5,2
Spin Lock,1000,62.5,66.96,71.43,186.5,2
ZooKeeper Lock,500,62.5,62.5,62.5,164.75,2
ZooKeeper Lock,800,66.67,66.67,66.67,113.75,2
ZooKeeper Lock,1000,83.33,91.62,99.9,234.0,2
