Lock,Vuser,Worst_Mean_TPS,Overall_Mean_TPS,Best_Mean_TPS,Average_Peak_TPS,Test_Count
Pessimistic Lock,500,41.67,53.46,62.5,138.4,36
Pessimistic Lock,800,57.07,74.21,100.0,187.14,36
Pessimistic Lock,1000,62.5,84.21,125.0,222.61,36
Pub/Sub Lock,500,41.67,52.19,83.33,150.11,36
Pub/Sub Lock,800,49.94,77.17,100.0,203.99,36
Pub/Sub Lock,1000,50.0,87.75,125.0,223.89,36
Spin Lock,500,41.58,51.5,83.33,141.21,36
Spin Lock,800,50.0,71.05,133.17,190.17,36
Spin Lock,1000,55.56,80.13,125.0,220.26,36
ZooKeeper Lock,500,41.58,51.14,83.33,133.82,36
ZooKeeper Lock,800,50.0,72.81,100.0,190.43,36
ZooKeeper Lock,1000,55.5,76.54,100.0,206.17,36
