"Time","pub-sub"
2026-03-27 18:23:00.000,0 req/s
2026-03-27 18:23:03.000,0 req/s
2026-03-27 18:23:06.000,0 req/s
2026-03-27 18:23:09.000,0 req/s
2026-03-27 18:23:12.000,0 req/s
2026-03-27 18:23:15.000,0 req/s
2026-03-27 18:23:18.000,0 req/s
2026-03-27 18:23:21.000,0 req/s
2026-03-27 18:23:24.000,48.3 req/s
2026-03-27 18:23:27.000,88.0 req/s
2026-03-27 18:23:30.000,141 req/s
2026-03-27 18:23:33.000,54.7 req/s
2026-03-27 18:23:36.000,1.33 req/s
2026-03-27 18:23:39.000,0 req/s
2026-03-27 18:23:42.000,0 req/s
2026-03-27 18:23:45.000,0 req/s
