"Time","System CPU Usage"
2026-03-27 18:03:00.000,0.00703%
2026-03-27 18:03:03.000,0.00600%
2026-03-27 18:03:06.000,0.00592%
2026-03-27 18:03:09.000,0.00777%
2026-03-27 18:03:12.000,0.00614%
2026-03-27 18:03:15.000,0.00413%
2026-03-27 18:03:18.000,0.00587%
2026-03-27 18:03:21.000,0.0693%
2026-03-27 18:03:24.000,0.0909%
2026-03-27 18:03:27.000,0.0212%
2026-03-27 18:03:30.000,0.00586%
2026-03-27 18:03:33.000,0.00598%
2026-03-27 18:03:36.000,0.00731%
2026-03-27 18:03:39.000,0.00779%
2026-03-27 18:03:42.000,0.00651%
2026-03-27 18:03:45.000,0.00766%
