"Time","Redis"
2026-03-27 18:13:00.000,0.00242%
2026-03-27 18:13:03.000,0.00198%
2026-03-27 18:13:06.000,0.00260%
2026-03-27 18:13:09.000,0.00101%
2026-03-27 18:13:12.000,0.00109%
2026-03-27 18:13:15.000,0.00110%
2026-03-27 18:13:18.000,0.000849%
2026-03-27 18:13:21.000,0.00531%
2026-03-27 18:13:24.000,0.0168%
2026-03-27 18:13:27.000,0.00141%
2026-03-27 18:13:30.000,0.0489%
2026-03-27 18:13:33.000,0.00533%
2026-03-27 18:13:36.000,0.00359%
2026-03-27 18:13:39.000,0.00213%
2026-03-27 18:13:42.000,0.00249%
2026-03-27 18:13:45.000,0.00213%
