"Time","spin"
2026-03-27 17:53:00.000,0 req/s
2026-03-27 17:53:03.000,0 req/s
2026-03-27 17:53:06.000,0 req/s
2026-03-27 17:53:09.000,0 req/s
2026-03-27 17:53:12.000,0 req/s
2026-03-27 17:53:15.000,0 req/s
2026-03-27 17:53:18.000,0 req/s
2026-03-27 17:53:21.000,52.7 req/s
2026-03-27 17:53:24.000,13.3 req/s
2026-03-27 17:53:27.000,132 req/s
2026-03-27 17:53:30.000,86.0 req/s
2026-03-27 17:53:33.000,48.7 req/s
2026-03-27 17:53:36.000,1.000 req/s
2026-03-27 17:53:39.000,0 req/s
2026-03-27 17:53:42.000,0 req/s
2026-03-27 17:53:45.000,0 req/s
