"Time","System CPU Usage"
2026-03-27 17:53:00.000,0.00976%
2026-03-27 17:53:03.000,0.00636%
2026-03-27 17:53:06.000,0.00896%
2026-03-27 17:53:09.000,0.00404%
2026-03-27 17:53:12.000,0.00520%
2026-03-27 17:53:15.000,0.00959%
2026-03-27 17:53:18.000,0.00372%
2026-03-27 17:53:21.000,0.0669%
2026-03-27 17:53:24.000,0.0145%
2026-03-27 17:53:27.000,0.109%
2026-03-27 17:53:30.000,0.0679%
2026-03-27 17:53:33.000,0.0331%
2026-03-27 17:53:36.000,0.0294%
2026-03-27 17:53:39.000,0.00600%
2026-03-27 17:53:42.000,0.00586%
2026-03-27 17:53:45.000,0.00857%
